"Date","Price","Open","High","Low","Vol.","Change %"
"13-10-2023","125.05","125.00","125.75","124.00","26.91M","-0.68%"
"12-10-2023","125.90","125.35","126.90","125.10","19.36M","0.76%"
"11-10-2023","124.95","126.00","126.30","124.70","24.46M","-0.28%"
"10-10-2023","125.30","124.70","125.90","123.75","28.75M","1.17%"
"09-10-2023","123.85","124.80","124.90","122.60","21.46M","-1.63%"
"06-10-2023","125.90","126.50","127.00","125.10","21.93M","0.52%"
"05-10-2023","125.25","125.90","126.15","124.55","27.06M","-0.04%"
"04-10-2023","125.30","127.00","127.10","124.50","33.27M","-2.11%"
"03-10-2023","128.00","129.00","129.10","127.25","18.61M","-0.70%"
"29-09-2023","128.90","128.20","129.55","127.55","28.41M","1.66%"
"28-09-2023","126.80","128.35","129.30","126.30","29.98M","-1.05%"
"27-09-2023","128.15","128.75","128.75","126.70","33.28M","-0.58%"
"26-09-2023","128.90","129.00","130.55","128.40","48.94M","1.18%"
"25-09-2023","127.40","127.30","128.30","126.10","23.47M","0.51%"
"22-09-2023","126.75","127.15","128.70","125.50","34.06M","-0.82%"
"21-09-2023","127.80","128.30","129.25","127.20","29.83M","-0.39%"
"20-09-2023","128.30","130.45","131.80","128.00","43.63M","-1.65%"
"18-09-2023","130.45","135.00","135.00","130.05","62.42M","-1.14%"
"15-09-2023","131.95","132.60","133.30","129.85","85.06M","0.19%"
"14-09-2023","131.70","131.00","134.20","130.80","58.80M","1.66%"
"13-09-2023","129.55","129.60","130.50","127.70","23.37M","0.43%"
"12-09-2023","129.00","132.80","133.15","128.65","38.07M","-1.64%"
"11-09-2023","131.15","129.50","131.85","129.20","33.38M","1.27%"
"08-09-2023","129.50","131.40","131.65","129.20","34.31M","-0.50%"
"07-09-2023","130.15","129.50","130.80","128.60","30.27M","0.42%"
"06-09-2023","129.60","132.40","132.40","128.20","36.06M","-1.59%"
"05-09-2023","131.70","131.75","132.45","128.85","36.47M","-0.04%"
"04-09-2023","131.75","129.20","132.90","128.85","68.53M","3.70%"
"01-09-2023","127.05","123.50","128.70","123.40","76.46M","3.38%"
"31-08-2023","122.90","122.85","123.60","122.15","60.63M","0.66%"
"30-08-2023","122.10","120.50","122.70","120.25","51.47M","2.13%"
"29-08-2023","119.55","118.50","120.15","117.75","36.04M","1.66%"
"28-08-2023","117.60","117.00","118.25","117.00","19.22M","0.60%"
"25-08-2023","116.90","118.00","118.15","116.70","23.69M","-1.14%"
"24-08-2023","118.25","119.50","120.10","118.05","27.10M","-0.59%"
"23-08-2023","118.95","117.85","119.25","117.65","43.74M","1.19%"
"22-08-2023","117.55","117.15","117.75","116.50","17.34M","0.56%"
"21-08-2023","116.90","116.75","117.10","115.85","22.63M","0.95%"
"18-08-2023","115.80","116.30","116.40","114.75","30.38M","-0.22%"
"17-08-2023","116.05","115.90","116.80","114.70","28.46M","0.09%"
"16-08-2023","115.95","117.95","117.95","115.40","31.25M","-1.86%"
"14-08-2023","118.15","120.30","120.40","117.35","33.10M","-1.79%"
"11-08-2023","120.30","120.30","121.40","119.15","26.34M","0.25%"
"10-08-2023","120.00","120.00","120.65","119.25","24.44M","-0.17%"
"09-08-2023","120.20","118.35","120.50","116.90","34.15M","1.74%"
"08-08-2023","118.15","119.00","119.50","117.95","21.28M","-0.59%"
"07-08-2023","118.85","119.60","119.60","118.00","20.71M","-0.13%"
"04-08-2023","119.00","119.40","119.75","118.00","22.30M","0.68%"
"03-08-2023","118.20","118.70","119.65","117.50","34.62M","-0.63%"
"02-08-2023","118.95","122.90","122.90","118.25","54.95M","-3.45%"
"01-08-2023","123.20","123.55","124.15","122.55","27.86M","0.04%"
"31-07-2023","123.15","120.60","123.85","120.60","52.33M","2.11%"
"28-07-2023","120.60","120.20","121.10","118.70","34.00M","0.67%"
"27-07-2023","119.80","120.25","121.45","119.15","39.66M","-0.13%"
"26-07-2023","119.95","119.80","120.60","118.85","29.72M","0.59%"
"25-07-2023","119.25","115.00","119.90","114.35","88.04M","3.25%"
"24-07-2023","115.50","116.50","116.50","114.35","38.11M","-0.94%"
"21-07-2023","116.60","116.60","117.95","115.50","31.55M","-0.30%"
"20-07-2023","116.95","116.70","117.25","116.35","22.30M","0.21%"
"19-07-2023","116.70","116.70","117.20","116.10","17.22M","0.09%"
"18-07-2023","116.60","118.00","118.15","116.40","23.43M","-0.98%"
"17-07-2023","117.75","117.95","119.35","117.10","49.12M","0.51%"
"14-07-2023","117.15","115.70","117.90","114.80","34.52M","2.00%"
"13-07-2023","114.85","116.00","116.95","114.50","44.85M","0.13%"
"12-07-2023","114.70","115.15","116.05","114.00","32.77M","-0.39%"
"11-07-2023","115.15","115.60","116.10","114.80","38.00M","-0.13%"
"10-07-2023","115.30","112.25","115.70","111.65","60.65M","3.32%"
"07-07-2023","111.60","112.00","113.30","111.25","30.03M","-0.93%"
"06-07-2023","112.65","112.00","112.85","111.50","34.32M","-0.27%"
"05-07-2023","112.95","112.55","113.55","112.20","27.88M","0.49%"
"04-07-2023","112.40","113.20","113.40","112.10","25.08M","-0.62%"
"03-07-2023","113.10","112.25","114.25","112.05","30.98M","0.98%"
"30-06-2023","112.00","111.60","112.20","110.40","26.74M","0.40%"
"28-06-2023","111.55","111.50","112.05","110.90","23.90M","0.72%"
"27-06-2023","110.75","110.60","111.50","110.15","24.13M","0.82%"
"26-06-2023","109.85","109.60","110.20","108.10","25.33M","0.23%"
"23-06-2023","109.60","110.50","110.75","109.20","22.19M","-1.35%"
"22-06-2023","111.10","110.60","112.20","110.55","34.77M","-2.46%"
"21-06-2023","113.90","114.90","114.90","112.85","35.63M","-0.31%"
"20-06-2023","114.25","114.10","115.25","113.50","30.37M","0.13%"
"19-06-2023","114.10","115.45","115.60","113.05","33.50M","-0.13%"
"16-06-2023","114.25","114.40","114.80","113.85","31.72M","0.44%"
"15-06-2023","113.75","113.90","114.20","113.25","39.43M","-0.04%"
"14-06-2023","113.80","111.50","114.00","111.40","66.70M","2.38%"
"13-06-2023","111.15","110.00","111.85","109.65","30.02M","1.51%"
"12-06-2023","109.50","109.15","110.60","109.15","23.47M","0.55%"
"09-06-2023","108.90","111.25","111.65","108.65","36.39M","-2.02%"
"08-06-2023","111.15","111.50","113.00","110.95","46.38M","-0.31%"
"07-06-2023","111.50","109.50","111.75","108.90","45.16M","2.29%"
"06-06-2023","109.00","109.75","109.85","108.30","26.75M","-0.37%"
"05-06-2023","109.40","108.65","109.90","107.80","39.64M","1.30%"
"02-06-2023","108.00","106.50","108.30","106.50","46.69M","1.93%"
"01-06-2023","105.95","105.90","106.70","105.80","21.21M","0.14%"
"31-05-2023","105.80","106.40","106.95","105.60","41.25M","-1.17%"
"30-05-2023","107.05","108.95","108.95","106.90","33.48M","-1.29%"
"29-05-2023","108.45","107.00","108.85","106.30","41.06M","1.93%"
"26-05-2023","106.40","105.00","106.75","104.95","28.36M","1.48%"
"25-05-2023","104.85","105.00","105.20","104.30","25.89M","-0.33%"
"24-05-2023","105.20","105.10","105.80","104.90","28.45M","-0.38%"
"23-05-2023","105.60","105.10","106.05","105.00","21.30M","0.57%"
"22-05-2023","105.00","105.00","105.25","104.30","21.59M","0.33%"
"19-05-2023","104.65","105.60","105.70","104.05","29.85M","-0.52%"
"18-05-2023","105.20","106.50","107.15","105.10","24.21M","-0.75%"
